time,left,front,u,Xi,desired
0.030,261.104842,114.136419,1.500000,109.523869,372.506893
0.061,240.565013,117.536747,1.500000,130.377438,372.855106
0.093,226.023236,111.818865,1.500000,145.240343,373.211519
0.120,223.383739,112.170423,1.500000,148.146321,373.507281
0.148,223.363680,121.258470,1.500000,148.445636,373.817221
0.178,208.688883,116.794439,1.500000,163.410206,374.138834
0.208,200.901992,122.233915,1.500000,171.492681,374.466896
0.241,189.454804,132.101568,1.500000,183.255713,374.817444
0.275,180.606367,131.972884,1.500000,192.425319,375.173903
0.309,173.038358,124.204384,1.500000,200.313465,375.529216
0.340,168.156290,134.992077,1.500000,205.491815,375.858052
0.373,160.328143,140.173693,1.500000,213.620695,376.191829
0.405,154.346190,127.508927,1.500000,219.903581,376.525828
0.437,155.847015,134.011789,1.500000,218.688624,376.843106
0.468,151.458351,133.445233,1.500000,223.360168,377.157068
0.503,153.555419,128.030707,1.500000,221.581817,377.510805
0.537,155.376038,129.947589,1.500000,220.057871,377.840076
0.569,151.627117,114.589321,1.500000,224.084672,378.148489
0.601,155.397335,118.048314,1.500000,220.595595,378.460522
0.630,160.281277,115.351977,1.500000,215.958611,378.734615
0.661,166.262745,122.402288,1.500000,210.238902,379.025135
0.693,165.194364,101.845978,1.500000,211.575273,379.322572
0.727,174.054350,112.972532,1.500000,202.997955,379.636299
0.760,177.638024,101.528225,1.500000,199.691621,379.944111
0.793,181.400735,75.669537,1.500000,196.192873,380.237079
0.825,188.079070,89.749587,1.500000,189.775391,380.526593
0.857,202.362299,83.512520,1.500000,175.743699,380.805769
0.888,202.882951,69.137237,1.500000,175.468158,381.077813
0.919,206.366990,75.282697,1.500000,172.226328,381.346636
0.953,217.504286,90.152532,1.500000,161.347702,381.633727
0.984,222.127563,81.260097,1.500000,156.957916,381.892873
1.017,217.590553,64.985534,1.500000,161.741158,382.166160
1.054,236.771892,65.313575,1.500000,142.828484,382.464346
1.084,247.029697,79.058757,1.500000,132.791245,382.709148
1.118,257.000617,86.896874,1.500000,123.062286,382.977695
1.149,251.204754,76.657760,1.500000,129.079491,383.223357
1.180,264.042090,82.906674,1.500000,116.457474,383.462335
1.213,266.666263,64.171062,1.500000,114.062914,383.717178
1.245,282.241159,79.459923,1.500000,98.700417,383.952914
1.280,292.709342,93.989804,1.500000,88.465193,384.211470
1.313,300.261318,78.072509,1.500000,81.135644,384.458337
1.346,318.434888,86.535704,1.500000,63.175407,384.695110
1.378,318.881714,73.129558,1.500000,62.926619,384.914909
1.408,325.856718,82.756075,1.500000,56.139762,385.123728
1.441,332.646024,65.290823,1.500000,49.553534,385.349122
1.472,334.420725,73.848276,1.500000,47.970661,385.562027
1.509,356.780827,97.450039,1.500000,25.829545,385.805075
1.541,358.807404,68.807094,1.500000,23.990931,386.013691
1.572,371.736239,85.187973,1.500000,11.238749,386.209754
1.605,382.944521,64.794841,1.500000,0.215441,386.415052
1.635,387.104174,71.505324,-1.500000,-3.778467,386.599009
1.667,403.191086,63.885732,-1.500000,-19.687701,386.796210
1.702,427.936681,66.069052,-1.500000,-44.247577,387.002335
1.732,414.771025,68.417211,-1.500000,-30.928164,387.172987
1.764,454.844898,76.480172,-1.500000,-70.838557,387.354430
1.797,473.980326,68.225031,-1.500000,-89.807137,387.539611
1.831,463.881617,66.372588,-1.500000,-79.539351,387.727265
1.863,517.955950,61.623086,-1.500000,-133.463622,387.893816
1.896,521.428054,70.100449,-1.500000,-136.777299,388.069650
1.929,558.359554,67.626524,-1.500000,-173.560894,388.233807
1.961,565.072854,60.745545,-1.500000,-180.127880,388.396197
1.992,596.843575,64.297183,-1.500000,-211.763111,388.546575
2.022,604.183239,62.609969,-1.500000,-218.978525,388.684477
2.053,597.761866,66.273197,-1.500000,-212.426523,388.829459
2.082,566.300309,68.065567,-1.500000,-180.845314,388.962259
2.114,587.729382,64.418244,-1.500000,-202.150226,389.100062
2.149,611.708543,60.997507,-1.500000,-225.995293,389.248890
2.180,578.790796,65.246766,-1.500000,-192.961620,389.377554
2.212,540.120826,70.448248,-1.500000,-154.173483,389.508704
2.249,509.238446,73.639046,-1.500000,-123.164098,389.649664
2.283,483.396078,62.549443,-1.500000,-97.205300,389.778888
2.316,461.204060,69.266607,-1.500000,-74.907104,389.896733
2.350,393.384349,64.502821,-1.500000,-6.979469,390.016516
2.380,365.110721,70.755480,1.500000,21.386035,390.118487
2.413,377.771021,67.546874,1.500000,8.822180,390.225528
2.444,381.881198,63.442136,1.500000,4.800457,390.323701
2.477,379.314641,70.287695,1.500000,7.455627,390.422051
2.509,359.160539,64.076928,1.500000,27.692852,390.514308
2.545,382.471698,67.180759,1.500000,4.472298,390.614867
2.576,381.477400,72.149533,1.500000,5.539579,390.695870
2.609,374.383071,62.200464,1.500000,12.709067,390.779287
2.641,384.172007,68.752756,1.500000,2.988666,390.855353
2.674,406.958462,66.835083,-1.500000,-19.732342,390.927991
2.704,379.218220,62.016906,1.500000,8.066280,390.992786
2.736,398.192887,69.332526,-1.500000,-10.851412,391.056020
2.768,417.416717,60.559681,-1.500000,-30.020189,391.117123
2.800,387.644220,68.640136,-1.500000,-0.197028,391.173354
2.834,370.798616,64.406118,1.500000,16.697664,391.227835
2.869,390.413827,65.718380,-1.500000,-2.870944,391.279560
2.903,388.948584,68.164717,-1.500000,-1.363094,391.326848
2.937,378.888877,68.944245,1.500000,8.733019,391.367254
2.968,359.637613,69.662089,1.500000,28.014875,391.401208
3.002,386.627390,70.955090,1.500000,1.055139,391.434548
3.030,373.813293,63.040335,1.500000,13.890325,391.457955
3.060,376.331206,70.598800,1.500000,11.392291,391.480018
3.092,387.805605,65.544602,1.420259,-0.064697,391.499342
3.124,388.961467,69.864736,-0.043624,-1.206751,391.514668
3.156,386.917428,68.861975,0.905670,0.847536,391.526042
3.192,400.961432,67.619614,-1.500000,-13.189357,391.533935
3.225,383.596333,66.138730,1.500000,4.178179,391.536638
3.256,420.720668,67.524667,-1.500000,-32.947410,391.535247
3.289,418.492301,69.358662,-1.500000,-30.724082,391.529655
3.322,415.539580,64.135941,-1.500000,-27.780409,391.519613
3.351,410.401877,65.360637,-1.500000,-22.653983,391.507097
3.384,411.577420,63.061051,-1.500000,-23.845613,391.489242
3.417,395.618470,65.541912,-1.500000,-7.907104,391.466555
3.453,354.086870,68.559598,1.500000,33.598439,391.437634
3.487,389.041697,69.327158,-0.019570,-1.385815,391.404974
3.518,373.265888,68.593610,1.500000,14.359206,391.370803
3.551,382.195477,64.882726,1.500000,5.393813,391.331066
3.582,394.617759,62.122387,-1.500000,-7.066067,391.289337
